pathway	GeneSetCollection	direction	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	FDR_global
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK	Up	0.000312304809494066	0.00192782233189389	0.83782325634836	3.55449284669693	0	181	GBP4,DDX60,IFI44,PSMB8,IDO1,RTP4,CCL5,ISG15,OAS2,HLA-DMA,RSAD2,ZBP1,USP18,TNFSF10,PARP14,CASP1,CIITA,CD74,CASP4,PSMB9,B2M,GZMA,DHX58,HLA-DQA1,CMPK2,XAF1,CD274,SAMHD1,TAP1,STAT1,BATF2,IL18BP,IRF1,IFIT2,EIF4E3,PSMB10,SOCS1,PARP12,WARS,C1R,IFIH1,HERC6,IRF8,ST8SIA4,DDX58,CD69,UBE2L6,IL2RB,CXCL10,PSME1,LAP3,RNF213,TAPBP,NMI,PSME2,ITGB7,OAS3,FCGR1A,TRIM25,IRF7,HLA-G,NLRC5,PDE4B,TRIM21,HLA-A,PFKP,IRF5,IFI35,IFITM3,IRF9,RAPGEF6,SERPING1,STAT4,TRAFD1,OGFR,HIF1A,RNF31,XCL1,EIF2AK2,CASP7,STAT2,NAMPT,EPSTI1,TOR1B,TNFAIP3,CFH,LY6E,CFB,IL10RA,LGALS3BP,ZNFX1,STAT3,ADAR,ICAM1	0.00440691589868892
GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP	IMMUNOLOGIC	Up	0.000306842589751458	0.00261939708704979	0.825137630491075	3.52804282858549	0	177	GBP4,IFI44,PSMB8,RTP4,CCL5,UBD,IFIT1B,ISG15,OAS2,GBP2,IRGM,RSAD2,ZBP1,USP18,SLFN5,TNFSF10,PARP14,CASP1,CASP4,PSMB9,DHX58,CMPK2,XAF1,CD274,SAMHD1,TAP1,STAT1,BATF2,OAS1,IL18BP,MPEG1,IRF1,IFIT2,PTPRC,LAIR1,EIF4E3,PSMB10,PARP12,WARS,PARP9,IFIH1,HERC6,GBP7,IRF8,DDX58,UBE2L6,TAPBPL,UBA7,TRIM5,AIF1,CXCL10,PSME1,RNF213,TAPBP,NMI,PSME2,OAS3,CD72,FCGR1A,TRIM25,INPP1,IRF7,PARP11,ZUFSP,HLA-G,FXYD5,HLA-E,TRIM21,SERPINB9,IFI35,IFITM3,SLFN13,IRF9,TMEM229B,MLKL,TRAFD1,C2,RNF31,EIF2AK2,STAT2,NAMPT,EPSTI1,EDEM1,LY6E,FANCA,TMEM173,IKZF1,ZNFX1,RNF19B,ADAR	0.00440691589868892
GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_UP	IMMUNOLOGIC	Up	0.000310077519379845	0.00261939708704979	0.811211356779966	3.44812719139126	0	171	GBP4,IFI44,PSMB8,IDO1,RTP4,IFIT1B,ISG15,OAS2,GBP2,IRGM,RSAD2,ZBP1,USP18,SLFN5,TNFSF10,PARP14,PSMB9,NKG7,B2M,DHX58,CMPK2,XAF1,CD274,SAMHD1,TAP1,STAT1,BATF2,OAS1,IL18BP,MPEG1,IRF1,IFIT2,PSMB10,PARP12,WARS,PARP9,IFIH1,HERC6,GBP7,DDX58,CD69,UBE2L6,UBA7,TRIM5,CXCL10,PSME1,RNF213,NMI,OAS3,FCGR1A,INPP1,IRF7,PARP11,ZUFSP,HLA-G,HLA-E,TRIM21,SERPINB9,IFI35,IFITM3,SLFN13,IRF9,C2	0.00440691589868892
GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP	IMMUNOLOGIC	Up	0.000308071472581639	0.00261939708704979	0.787361975636784	3.35742507512732	0	174	GBP4,IFI44,PSMB8,RTP4,UBD,IFIT1B,ISG15,OAS2,GBP2,IRGM,RSAD2,ZBP1,USP18,SLFN5,TNFSF10,PARP14,CASP4,PSMB9,NKG7,DHX58,CMPK2,XAF1,CD274,SAMHD1,TAP1,IFNG,STAT1,BATF2,INSL6,OAS1,IL18BP,IRF1,IFIT2,PSMB10,PARP12,PARP9,IFIH1,HERC6,GBP7,DDX58,UBE2L6,UBA7,TRIM5,CXCL10,PSME1,RNF213,TAPBP,NMI,PSME2,CD72,TRIM25,INPP1,PARP11,ZUFSP,NLRC5,HLA-E,TRIM21,SERPINB9,IFI35,SLFN13,IRF9,C2,PPM1K,KLRD1,STAT2,IQCH,CH25H,SLC22A15,ADAR,DCP2,RRP1B,BCL11A,MB21D1,STEAP1,MTHFD2,TLR3,EPC2,TNFAIP2,AKAP10,TRAF1,SPPL2A,EGFL6,USP42,ZC3HAV1,TIMELESS,TOR1AIP2,ZC3H7A,MITD1,HAO2	0.00440691589868892
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_DN	IMMUNOLOGIC	Up	0.000311138767890479	0.00261939708704979	0.793892693399527	3.35414787110497	0	165	DDX60,IFI44,PSMB8,IDO1,RTP4,ISG15,OAS2,USP18,TNFSF10,CASP1,PSMB9,B2M,CTSS,SAMHD1,TAP1,STAT1,OAS1,PHF11,IRF1,IFIT2,TGM2,TMEM140,PSMB10,PARP12,TAP2,WARS,C1R,IFIH1,HERC6,IFI16,IRF8,ST8SIA4,DDX58,C3,TRIM31,UBE2L6,TAPBPL,UBA7,TRIM5,PSME1,LAP3,TAPBP,NMI,PSME2,OAS3,TRIM25,ERAP1,IRF7,C19orf66,HLA-G,FLT3LG,HLA-E,TRIM21,HLA-A,SERPINB9,IFI35,ASPM,RBMS1,HLA-F,IRF9,SERPING1,TRAFD1,OGFR,USP15,DOPEY1,CASP7,DOCK4,CFH,LY6E,CFB,SLC15A3,LGALS3BP,STAT3,RNF19B,ADAR	0.00440691589868892
GSE36527_CD69_NEG_VS_POS_TREG_CD62L_LOS_KLRG1_NEG_UP	IMMUNOLOGIC	Up	0.000308166409861325	0.00261939708704979	0.78156956808877	3.35338249553498	0	182	GBP4,DDX60,IFI44,PSMB8,RTP4,IFIT1B,ISG15,OAS2,GBP2,IRGM,RSAD2,ZBP1,USP18,TNFSF10,PARP14,CASP4,PSMB9,DHX58,CMPK2,CD274,SAMHD1,TAP1,STAT1,OAS1,IRF1,SLFN12L,IFIT2,TMEM140,PSMB10,SOCS1,PARP12,PARP9,IFIH1,GBP7,CXCL10,TAPBP,TRIM25,IRF7,CCRL2,C19orf66,ZUFSP,EFR3A,HLA-E,TRIM21,IFI35,SLFN13,MOV10,IRF9,RAPGEF6,TRAFD1,OGFR,EIF2AK2,PRKCQ,STAT2,NAMPT,EPSTI1,N4BP1,PKD2L2,CHRDL1,LGALS3BP,DDX24,ZNFX1,SLAIN1,STAT3,RNF19B,ADAR,ICAM1,FHL2,HK1,TRIM26,MORC3	0.00440691589868892
GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_DN	IMMUNOLOGIC	Up	0.000311623558741041	0.00261939708704979	0.794405786695039	3.33886242718472	0	156	IFI44,PSMB8,IDO1,UBD,ISG15,CD8A,CXCR6,PTPN22,THY1,USP18,TNFSF10,CASP1,CIITA,CASP4,PSMB9,GZMA,XAF1,LCK,BATF2,PHF11,IL18BP,TNFRSF14,IRF1,IFIT2,CD3D,TGM2,EIF4E3,CORO1A,KLRC1,PSMB10,SOCS1,PARP12,NCKAP1L,CD69,LY75,CXCL10,MYO1G,TAPBP,CYLD,OAS3,ITGAL,GRAP2,TRIM25,CD96,ERAP1,CCRL2,PARP11,CSF1,NLRC5,SLC2A6,MXD1,MCTP2,P2RY10,UVRAG,SERPING1,MLKL,LMO4,ICOS,ANKRD44,EPSTI1,ATP8A1,PRDM1,AHNAK,GIMAP6,UNC93B1,PLCB2,STAT3,RNF19B,ICAM1,ELL2,SEMA7A,KAT2B,BID,DOK2,NOTCH1,LPIN2	0.00440691589868892
GSE42021_TREG_PLN_VS_CD24INT_TREG_THYMUS_DN	IMMUNOLOGIC	Up	0.000310848616723656	0.00261939708704979	0.789252725794767	3.3337398132316	0	164	DDX60,IFI44,PSMB8,IDO1,RTP4,ISG15,OAS2,GBP2,CASP1,CD74,CASP4,PSMB9,B2M,CTSS,SAMHD1,TAP1,STAT1,OAS1,PHF11,IRF1,TGM2,PSMB10,PARP12,TAP2,WARS,C1R,IFIH1,IFI16,IRF8,ST8SIA4,DDX58,C3,TRIM31,UBE2L6,TAPBPL,UBA7,PSME1,LAP3,TAPBP,NMI,PSME2,OAS3,TRIM25,ERAP1,C19orf66,HLA-G,FLT3LG,HLA-E,TRIM21,HLA-A,IFI35,HLA-F,IRF9,SERPING1,TRAFD1,OGFR,UBE2D3,SMARCA5,CASP7,TEAD4,NAMPT,DOCK4,CFH,LY6E,CFB,LGALS3BP,STAT3,RNF19B,ADAR,SLC14A2	0.00440691589868892
GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_UP	IMMUNOLOGIC	Up	0.000314366551398931	0.00261939708704979	0.795571885181644	3.31714908562489	0	149	DDX60,IFI44,PSMB8,ISG15,OAS2,RSAD2,USP18,PARP14,CASP1,PSMB9,B2M,DHX58,CMPK2,XAF1,CD274,SAMHD1,TAP1,STAT1,BATF2,OAS1,PHF11,IFIT2,RSPO1,TMEM140,PARP12,TAP2,PARP9,IFIH1,TRIM69,HERC6,IFI16,DDX58,UBE2L6,TAPBPL,TRIM5,CXCL10,PSME1,LAP3,RNF213,NMI,PSME2,CYLD,OAS3,TRIM25,LNPEP,IRF7,C19orf66,HLA-G,NLRC5,HLA-E,TRIM21,IFI35,IFITM3,MOV10,ANKIB1,HLA-F,IRF9,TJP1,OGFR,EIF2S2,EIF2AK2,PPM1K,CASP7,STAT2	0.00440691589868892
GSE18281_CORTICAL_VS_MEDULLARY_THYMOCYTE_UP	IMMUNOLOGIC	Up	0.000307692307692308	0.00261939708704979	0.771751622162912	3.31345528698782	0	183	GBP4,PSMB8,CCL5,IFIT1B,ISG15,GBP2,PTPN22,IRGM,RSAD2,USP18,TNFSF10,CD74,CASP4,B2M,CXCL6,CTSS,CMPK2,SAMHD1,TAP1,STAT1,IL18BP,MPEG1,IRF1,SLFN12L,IFIT2,TGM2,PSMB10,TAP2,WARS,C1R,IFIH1,C3,UBA7,OSMR,CXCL10,PSME1,NMI,VNN1,IRF7,CCRL2,CSF1,HLA-G,KRAS,HLA-E,TRIM21,IRF5,IFI35,IFITM3,IRF9,TRAFD1,PLAT,CHI3L1,EIF2AK2,TNF,SLPI,HSP90B1,DUSP6,LY6E,CD14,LIN9,LGALS3BP,PDIA6,PIGA,CH25H,ZNFX1,RNF19B,ADAR,ICAM1	0.00440691589868892
