pathway	GeneSetCollection	direction	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	FDR_global
GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP	IMMUNOLOGIC	Up	0.00032071840923669	0.00717584955460244	0.80550487814493	2.8563211163401	0	177	GBP4,GNB4,HERC6,STAT1,SLFN5,RSAD2,USP18,CXCL10,CMPK2,BATF2,RNF213,SAMHD1,STAT2,NMI,PSMB8,TRIM5,TRIM21,CCL5,IL18BP,MPEG1,ISG15,C2,IFI44,GBP7,RTP4,UBD,PSMB9,CASP1,TNFSF10,CASP4,SERPINB9,PARP9,UBA7,RNF19B,TLR3,TMEM229B,ZNFX1,IRF7,AIDA,PARP14,WARS,TAP1,HLA-G,CD274,PSMB10,EIF4E3,PARP3,ARID5A,PARP12,SNX10,FAM65B,ZBP1,TRAFD1,RBM43,DHX58,PSME1,ZUFSP,NAMPT,PSME2,APOBEC3B,PARP11,IRF8,IRF1,IFIH1,MTHFR,IFI35,XAF1,MARCH5,BID,DAXX,ECE2,SLFN13,DDX58,TAPBPL,NAAA,IRGM,TAPBP,SLAMF8,UBE2L6,EPSTI1,RNF31,OAS2,IFIT2,ADAR,IFIT1B	0.0117243397079554
GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_UP	IMMUNOLOGIC	Up	0.000321130378933847	0.00717584955460244	0.805966169329545	2.84567381296896	0	171	GBP4,GNB4,HERC6,STAT1,B2M,SLFN5,RSAD2,USP18,CXCL10,CMPK2,BATF2,RNF213,SAMHD1,STAT2,NMI,PSMB8,TRIM5,TRIM21,IL18BP,MPEG1,ISG15,C2,IFI44,GBP7,RTP4,PSMB9,TNFSF10,SERPINB9,NOD1,PARP9,UBA7,TLR3,ZNFX1,IRF7,AIDA,PARP14,WARS,TAP1,HLA-G,CD274,PSMB10,PARP12,SNX10,ZBP1,DHX58,PSME1,ZUFSP,GTPBP8,APOBEC3B,PARP11,SECTM1,IRF1,IFIH1,MTHFR,IFI35,XAF1,HECTD2,MARCH5,DAXX,SLFN13,DDX58,IRGM,SLAMF8,UBE2L6,KCNJ1,OAS2,IFIT2,ADAR,IFIT1B,UPP1,SHISA5,RAB19,SGK2,CLIC4,HLA-E,ISG20,RNF114,OAS1,GBP2,SUSD4	0.0117243397079554
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK	Up	0.000319897632757518	0.00206893698017958	0.795243452192161	2.83607939761445	0	181	GBP4,HERC6,STAT1,B2M,RSAD2,ITGB7,DDX60,USP18,CXCL10,CMPK2,BATF2,RNF213,APOL6,SAMHD1,STAT2,NMI,PSMB8,TRIM21,CCL5,IL18BP,ISG15,IFI44,RTP4,SOCS1,PSMB9,CASP1,TNFSF10,CASP4,NOD1,SERPING1,ICAM1,C1R,PTGS2,ZNFX1,IRF7,PARP14,WARS,TAP1,HLA-G,LYSMD2,LAP3,CD274,PSMB10,CD74,EIF4E3,TRIM26,PARP12,HLA-DQA1,ZBP1,TRAFD1,HLA-A,DHX58,PSME1,NAMPT,PSME2,PNPT1,OGFR,SECTM1,IRF8,IRF1,IFIH1,NLRC5,IFI35,XAF1,IFNAR2,PLA2G4A,CIITA,DDX58,HLA-DMA,TAPBP,FAS,UBE2L6,IL15RA,EPSTI1,RNF31,CASP3,RBCK1,OAS2,IFIT2,ADAR,UPP1,RIPK1,MYD88	0.0117243397079554
GSE33424_CD161_INT_VS_NEG_CD8_TCELL_UP	IMMUNOLOGIC	Up	0.00032133676092545	0.00717584955460244	0.789474587414434	2.80527774550967	0	182	SLFN12L,CCRL2,HERC6,STAT1,TMEM140,SLFN5,RSAD2,DDX60,USP18,CXCL10,CMPK2,RNF213,SAMHD1,IL12RB1,STAT2,NMI,TRIM5,TRIM21,MPEG1,ISG15,IFI44,GBP7,RTP4,TNFSF10,CASP4,ASB13,PARP9,TLR3,IRF7,PARP14,CD47,NOP58,CSF1,LAP3,CD274,EHD3,PPM1K,PARP12,ZBP1,TRAFD1,DHX58,HAP1,ZUFSP,NAMPT,NUFIP1,C19orf12,PARP11,PNPT1,IRF1,MPHOSPH10,IFIH1,NLRC5,PPA1,IFI35,XAF1,MARCH5,DAXX,MRPL1,HSH2D,ETV6,SLFN13,GNL3,MITD1,DDX58,YARS,IRGM,TAPBP,EPSTI1,TPST1,WDR75,LARP1,OAS2,IFIT2,IFIT1B,CHD7,RBL1,ZCCHC2,TOR3A,MB21D1,N4BP1,POLR3B,UBXN2B,UTP20,HLA-E,PNO1,ISG20,PRMT5,OAS1,GBP2,PLAC8,DNAJC2,MDN1,ASNS,TGIF1	0.0117243397079554
GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP	IMMUNOLOGIC	Up	0.000320512820512821	0.00717584955460244	0.781454182031808	2.7658896017594	0	174	GBP4,HERC6,STAT1,SLFN5,RSAD2,USP18,CXCL10,CMPK2,BATF2,RNF213,SAMHD1,STAT2,NMI,PSMB8,TRIM5,TRIM21,IL18BP,ISG15,C2,IFI44,GBP7,RTP4,UBD,PSMB9,ZC3HAV1,TNFSF10,CASP4,SERPINB9,ASB13,PARP9,UBA7,STEAP1,TLR3,PARP14,TAP1,CD274,PSMB10,TMEM117,PPM1K,PARP12,ZBP1,RBM43,DHX58,ZNF287,PSME1,RHBDD1,ZUFSP,PSME2,PARP11,IRF1,IFIH1,NLRC5,MTHFR,IFI35,XAF1,MARCH5,DAXX,SLFN13,INSL6,MITD1,DDX58,RRP1B,IRGM,TAPBP,USP42,UBE2L6,THAP2,OAS2,IFIT2,ADAR,IFIT1B,SHISA5,ZCCHC2,STX3,MB21D1,TLK2,CLIC4,HLA-E,RNF114,ITPKA,OAS1,GBP2	0.0117243397079554
GSE26030_TH1_VS_TH17_DAY5_POST_POLARIZATION_UP	IMMUNOLOGIC	Up	0.00032133676092545	0.00717584955460244	0.772584459548445	2.74526124773177	0	182	SLFN12L,CCRL2,HERC6,STAT1,TMEM140,SLFN5,RSAD2,DDX60,USP18,CXCL10,CMPK2,RNF213,SAMHD1,IL12RB1,STAT2,NMI,TRIM5,TRIM21,MPEG1,ISG15,IFI44,GBP7,RTP4,TNFSF10,PARP9,TUBA8,TLR3,IRF7,PARP14,CD47,CSF1,LAP3,EHD3,PARP12,ZBP1,TRAFD1,BYSL,DHX58,HAP1,ZUFSP,NAMPT,C19orf12,PARP11,DTX4,IFIH1,NLRC5,PPA1,IFI35,XAF1,MARCH5,DAXX,UBR4,HSH2D,SLFN13,MITD1,IRGM,CRCP,POLR3E,EPSTI1,TPST1,EPRS,LARP1,OAS2,IFIT2,IFIT1B,RRP15,ZCCHC2,TOR3A,MB21D1,TMEM106A,POLR3B,HLA-E,PNO1,ISG20,RNF114,NIF3L1,EIF5B,OAS1,GHITM,GBP2,NOC3L,MAX,PLAC8	0.0117243397079554
GSE34006_WT_VS_A2AR_KO_TREG_DN	IMMUNOLOGIC	Up	0.000319897632757518	0.00717584955460244	0.757427214148208	2.68820902492561	0	178	GBP4,SLFN12L,CCRL2,STAT1,TMEM140,B2M,RSAD2,DDX60,GPR155,USP18,CXCL10,CMPK2,SAMHD1,STAT2,NMI,PSMB8,TRIM21,ISG15,GBP7,RTP4,SOCS1,PSMB9,TNFSF10,ASB13,PARP9,RNF19B,LPAR4,ZNFX1,IRF7,AIDA,PARP14,TAP1,CD274,PSMB10,EIF4E3,TRIM26,ARID5A,PARP12,ZBP1,TRAFD1,RBM43,C19orf66,DHX58,PSME1,ZUFSP,PSME2,APOBEC3B,C19orf12,PNPT1,OGFR,IRF1,IFIH1,PPA1,IFI35,DAXX,NOC4L,LMO4,SLFN13,INSL6,MITD1,TAPBPL,IRGM,TAPBP,USP36,LGALS9B,OAS2,IFIT2,ADAR,IFIT1B,RIPK1,SLC2A4,TOR3A,MORC3,PKIA,SLC25A22,MOV10,HLA-E,RFC3,ISG20,RNF114	0.0117243397079554
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK	Up	0.000335908632851864	0.00206893698017958	0.835305192416203	2.68694528036911	0	84	GBP4,CCRL2,HERC6,TMEM140,B2M,RSAD2,DDX60,USP18,CXCL10,CMPK2,BATF2,STAT2,NMI,PSMB8,TRIM5,TRIM21,ISG15,IFI44,RTP4,PSMB9,CASP1,PARP9,UBA7,IRF7,PARP14,WARS,TAP1,CD47,CSF1,LAP3,CD74,TRIM26,PARP12,TRAFD1,DHX58,PSME1,PSME2,PNPT1,OGFR,IRF1,IFIH1,IFI35,NUB1,UBE2L6,EPSTI1,RNF31,IFIT2,ADAR	0.0117243397079554
GSE34006_A2AR_KO_VS_A2AR_AGONIST_TREATED_TREG_UP	IMMUNOLOGIC	Up	0.000320410124959949	0.00717584955460244	0.748715645355573	2.66604088379029	0	184	GBP4,SLFN12L,CCRL2,STAT1,TMEM140,B2M,RSAD2,DDX60,USP18,CXCL10,CMPK2,SAMHD1,STAT2,NMI,PSMB8,TRIM21,ISG15,IFI44,GBP7,RTP4,PSMB9,TNFSF10,ASB13,PARP9,ZNFX1,IRF7,AIDA,PARP14,TAP1,HLA-G,CD274,PSMB10,TRIM26,SESN3,PARP12,ZBP1,TRAFD1,RBM43,C19orf66,DHX58,PSME1,ZUFSP,NAMPT,PSME2,RNF135,APOBEC3B,C19orf12,PNPT1,OGFR,PNPLA7,TRNT1,IRF1,IFIH1,PPA1,VPS54,IFI35,DAXX,NOC4L,SLFN13,NUB1,MITD1,IRGM,FEZ2,TAPBP,WDR43,IL11,LGALS9B,OAS2,IFIT2,ADAR,IFIT1B,NME6,RBL1,RIPK1,TOR3A,MORC3,N4BP1,MOV10,HLA-E,ISG20,RNF114,NIF3L1,KBTBD2,OAS1,WTAP,GBP2	0.0117243397079554
GSE42724_NAIVE_BCELL_VS_PLASMABLAST_UP	IMMUNOLOGIC	Up	0.00032499187520312	0.00717584955460244	0.761141590445345	2.66402999566472	0	160	GBP4,GBP5,HERC6,STAT1,TMEM140,RSAD2,ITGB7,DDX60,USP18,CXCL10,CMPK2,BATF2,APOL6,STAT2,NMI,TRIM5,TRIM21,ISG15,IFI44,RTP4,PSMB9,CASP1,TNFSF10,PARP9,SERPING1,UBA7,TLR3,PARP10,ZNFX1,IRF7,TAP2,PARP14,TAP1,LAP3,SQSTM1,PPM1K,NEXN,PARP12,ZBP1,TRAFD1,C19orf66,DHX58,HLA-F,PSME1,PNPT1,IRF1,NRIP1,IFIH1,NLRC5,IFI35,XAF1,HSH2D,NUB1,DDX58,TAPBPL,PSMA4,UBE2L6,IL15RA,EPSTI1,OAS2,IFIT2,MAD2L1BP,DDIT3,CSRNP1,SHISA5,COQ10B,SCARB2,RIPK1,MYD88,RAD9A	0.0117243397079554
