GeneSymbol	infected_vs_uninfected	infected_vs_uninfected_6mice
0610009B22Rik	n.s.	n.s.
0610009L18Rik	n.s.	n.s.
0610009O20Rik	n.s.	n.s.
0610010F05Rik	n.s.	n.s.
0610010K14Rik	n.s.	n.s.
0610030E20Rik	n.s.	n.s.
0610037L13Rik	n.s.	n.s.
0610038B21Rik	n.s.	n.s.
0610039K10Rik	n.s.	n.s.
0610040J01Rik	n.s.	n.s.
0610043K17Rik	n.s.	n.s.
1010001N08Rik	n.s.	n.s.
1110002E22Rik	n.s.	Up
1110002L01Rik	n.s.	n.s.
1110004E09Rik	n.s.	n.s.
1110004F10Rik	n.s.	n.s.
1110008F13Rik	n.s.	n.s.
1110008L16Rik	n.s.	n.s.
1110008P14Rik	n.s.	n.s.
1110012L19Rik	n.s.	n.s.
1110017D15Rik	n.s.	n.s.
1110032A03Rik	n.s.	n.s.
1110034G24Rik	n.s.	n.s.
1110036E04Rik	n.s.	n.s.
1110038F14Rik	n.s.	n.s.
1110046J04Rik	n.s.	n.s.
1110051M20Rik	n.s.	n.s.
1110059E24Rik	n.s.	n.s.
1110059G10Rik	n.s.	n.s.
1110065P20Rik	n.s.	n.s.
1190002N15Rik	n.s.	n.s.
1190007I07Rik	n.s.	n.s.
1300002E11Rik	n.s.	n.s.
1500009L16Rik	n.s.	n.s.
1500011B03Rik	n.s.	n.s.
1500011K16Rik	n.s.	n.s.
1500015L24Rik	n.s.	n.s.
1500015O10Rik	n.s.	n.s.
1600002K03Rik	n.s.	n.s.
1600012H06Rik	n.s.	n.s.
1600014C10Rik	n.s.	n.s.
1600015I10Rik	n.s.	n.s.
1600020E01Rik	n.s.	n.s.
1700001G11Rik	n.s.	n.s.
1700001K19Rik	n.s.	n.s.
1700001O22Rik	n.s.	n.s.
1700003D09Rik	n.s.	n.s.
1700003E16Rik	n.s.	n.s.
1700003F12Rik	n.s.	n.s.
1700006E09Rik	n.s.	n.s.
1700007J10Rik	n.s.	n.s.
1700007L15Rik	n.s.	n.s.
1700008J07Rik	n.s.	n.s.
1700008O03Rik	n.s.	n.s.
1700010I14Rik	n.s.	n.s.
1700012D01Rik,Nemp1	n.s.	n.s.
1700016C15Rik	n.s.	n.s.
1700017B05Rik	n.s.	n.s.
1700018A04Rik	n.s.	n.s.
1700019D03Rik	n.s.	n.s.
1700020I14Rik	n.s.	n.s.
1700020L24Rik	n.s.	n.s.
1700021F05Rik	n.s.	n.s.
1700022I11Rik	n.s.	n.s.
1700022N22Rik	n.s.	n.s.
1700025B11Rik	n.s.	n.s.
1700025F24Rik	n.s.	n.s.
1700025G04Rik	n.s.	n.s.
1700025N23Rik	n.s.	n.s.
1700028E10Rik,Gm3704	n.s.	n.s.
1700028J19Rik	n.s.	n.s.
1700028K03Rik	n.s.	n.s.
1700029H14Rik	n.s.	n.s.
1700029I15Rik	n.s.	n.s.
1700030F18Rik	n.s.	n.s.
1700030J22Rik	n.s.	n.s.
1700030K09Rik	n.s.	n.s.
1700034H15Rik	n.s.	n.s.
1700034I23Rik	n.s.	n.s.
1700034J05Rik	n.s.	n.s.
1700037C18Rik	n.s.	n.s.
1700037H04Rik	n.s.	n.s.
1700039M10Rik	n.s.	n.s.
1700047A11Rik	n.s.	n.s.
1700047G03Rik	n.s.	n.s.
1700047M11Rik	n.s.	n.s.
1700048O20Rik	n.s.	n.s.
1700056E22Rik	n.s.	n.s.
1700061G19Rik	n.s.	n.s.
1700063O14Rik	n.s.	n.s.
1700065D16Rik	n.s.	n.s.
1700066B19Rik	n.s.	n.s.
1700066M21Rik	n.s.	n.s.
1700067K01Rik	n.s.	n.s.
1700071M16Rik	n.s.	n.s.
1700086L19Rik	n.s.	n.s.
1700086O06Rik	n.s.	n.s.
1700088E04Rik	n.s.	n.s.
1700094D03Rik,4933434E20Rik	n.s.	n.s.
1700095B10Rik	n.s.	n.s.
1700095J03Rik	n.s.	n.s.
1700096K18Rik	n.s.	n.s.
1700102P08Rik	n.s.	n.s.
1700108F19Rik	n.s.	n.s.
1700109H08Rik	n.s.	n.s.
1700109K24Rik	n.s.	n.s.
1700110C19Rik	n.s.	n.s.
1700113A16Rik	n.s.	n.s.
1700119H24Rik	n.s.	n.s.
1700120C14Rik	n.s.	n.s.
1700120K04Rik	n.s.	n.s.
1700123L14Rik	n.s.	n.s.
1700123O20Rik	n.s.	n.s.
1700124L16Rik	n.s.	n.s.
1810010H24Rik	n.s.	n.s.
1810011H11Rik	n.s.	n.s.
1810012K16Rik	n.s.	n.s.
1810013L24Rik	n.s.	n.s.
1810014B01Rik	n.s.	n.s.
1810019N24Rik	n.s.	n.s.
1810021B22Rik	n.s.	n.s.
1810022K09Rik	n.s.	n.s.
1810024B03Rik	n.s.	n.s.
1810026B05Rik	n.s.	n.s.
1810030O07Rik	n.s.	n.s.
1810032O08Rik	n.s.	n.s.
1810034E14Rik	n.s.	n.s.
1810037I17Rik,Gm2036	n.s.	n.s.
1810041H14Rik	n.s.	n.s.
1810041L15Rik	n.s.	n.s.
1810043G02Rik	n.s.	n.s.
1810055G02Rik	n.s.	n.s.
1810058I24Rik	n.s.	n.s.
1810062G17Rik	n.s.	n.s.
1810062O18Rik	n.s.	n.s.
1810064F22Rik	n.s.	n.s.
2010001A14Rik	n.s.	n.s.
2010016I18Rik	n.s.	n.s.
2010106C02Rik	n.s.	n.s.
2010107E04Rik	n.s.	n.s.
2010109I03Rik	n.s.	n.s.
2010111I01Rik	n.s.	n.s.
2010300C02Rik	n.s.	n.s.
2010315B03Rik	n.s.	n.s.
2200002D01Rik	n.s.	n.s.
2210016F16Rik	n.s.	n.s.
2210016L21Rik	n.s.	n.s.
2210407C18Rik	n.s.	n.s.
2210408F21Rik	n.s.	n.s.
2210408I21Rik	n.s.	n.s.
2210416O15Rik,Cuedc1	n.s.	n.s.
2310001H17Rik	n.s.	n.s.
2310009B15Rik	n.s.	n.s.
2310010J17Rik	n.s.	n.s.
2310011J03Rik	n.s.	n.s.
2310022A10Rik	n.s.	n.s.
2310022B05Rik	n.s.	n.s.
2310030G06Rik	n.s.	n.s.
2310033P09Rik	n.s.	n.s.
2310035C23Rik	n.s.	n.s.
2310039H08Rik	n.s.	n.s.
2310040G24Rik	n.s.	n.s.
2310057M21Rik	n.s.	n.s.
2310061I04Rik	n.s.	n.s.
2310068J16Rik	n.s.	n.s.
2310069B03Rik	n.s.	n.s.
2410002F23Rik	n.s.	n.s.
2410004B18Rik	n.s.	n.s.
2410004P03Rik	n.s.	n.s.
2410006H16Rik	n.s.	n.s.
2410015M20Rik	n.s.	n.s.
2410022M11Rik	n.s.	n.s.
2410089E03Rik	n.s.	n.s.
2410131K14Rik	n.s.	n.s.
2510002D24Rik	n.s.	n.s.
2510009E07Rik	n.s.	n.s.
2510039O18Rik	n.s.	n.s.
2610002M06Rik	n.s.	n.s.
2610005L07Rik	n.s.	n.s.
2610008E11Rik	n.s.	n.s.
2610021A01Rik	n.s.	n.s.
2610027K06Rik	n.s.	n.s.
2610035D17Rik	n.s.	n.s.
2610044O15Rik8	n.s.	n.s.
2610203C22Rik	n.s.	n.s.
2610206C17Rik	n.s.	n.s.
2610301B20Rik	n.s.	n.s.
2610306M01Rik	n.s.	n.s.
2610507B11Rik	n.s.	n.s.
2610524H06Rik	n.s.	n.s.
2700038G22Rik	n.s.	n.s.
2700049A03Rik	n.s.	n.s.
2700062C07Rik	n.s.	n.s.
2700081O15Rik	n.s.	n.s.
2700097O09Rik	n.s.	n.s.
2700099C18Rik	n.s.	n.s.
2810001G20Rik	n.s.	n.s.
2810004N23Rik	n.s.	n.s.
2810006K23Rik	n.s.	n.s.
2810013P06Rik	n.s.	n.s.
2810021J22Rik	n.s.	n.s.
2810025M15Rik	n.s.	n.s.
2810029C07Rik	n.s.	n.s.
2810403A07Rik	n.s.	n.s.
2810403D21Rik	n.s.	n.s.
2810408A11Rik	n.s.	n.s.
2810454H06Rik	n.s.	n.s.
2810459M11Rik	n.s.	n.s.
2810468N07Rik	n.s.	n.s.
2810474O19Rik	n.s.	n.s.
2900005J15Rik	n.s.	n.s.
2900011O08Rik	n.s.	n.s.
2900026A02Rik	Up	Up
2900076A07Rik	n.s.	n.s.
3010001F23Rik	n.s.	n.s.
3110002H16Rik	n.s.	n.s.
3110035E14Rik	n.s.	n.s.
3110039I08Rik	n.s.	n.s.
3110040N11Rik	n.s.	n.s.
3110043O21Rik	n.s.	n.s.
3110045C21Rik	n.s.	n.s.
3110056K07Rik	n.s.	n.s.
3110062M04Rik	n.s.	n.s.
3110082I17Rik	n.s.	n.s.
3300002I08Rik	n.s.	n.s.
3632451O06Rik	n.s.	n.s.
3830403N18Rik	n.s.	n.s.
3830406C13Rik	n.s.	n.s.
3930402G23Rik	n.s.	n.s.
4430402I18Rik	n.s.	n.s.
4631405J19Rik	n.s.	n.s.
4632404H12Rik	n.s.	n.s.
4632415L05Rik	n.s.	n.s.
4632427E13Rik	n.s.	n.s.
4632428C04Rik	n.s.	n.s.
4732414G09Rik	n.s.	n.s.
4732491K20Rik	n.s.	n.s.
4833412C05Rik	n.s.	n.s.
4833418N02Rik	n.s.	n.s.
4833420G17Rik	n.s.	n.s.
4833422C13Rik	n.s.	n.s.
4833423E24Rik	n.s.	n.s.
4833427F10Rik	n.s.	n.s.
4833439L19Rik	n.s.	n.s.
4921504A21Rik	n.s.	n.s.
4921507P07Rik	n.s.	n.s.
4921524J17Rik	n.s.	n.s.
4921531C22Rik	n.s.	n.s.
4921534H16Rik	n.s.	n.s.
4921536K21Rik	n.s.	n.s.
4930402H24Rik	n.s.	n.s.
4930403D09Rik	n.s.	n.s.
4930404N11Rik	n.s.	n.s.
4930405O22Rik	n.s.	n.s.
4930415O20Rik	n.s.	n.s.
4930426L09Rik	n.s.	n.s.
4930429F24Rik	n.s.	n.s.
4930430F08Rik	n.s.	n.s.
4930432K21Rik	n.s.	n.s.
4930444M15Rik	n.s.	n.s.
4930447A16Rik	n.s.	n.s.
4930448H16Rik	n.s.	n.s.
4930452B06Rik	n.s.	n.s.
4930453N24Rik	n.s.	n.s.
4930473A02Rik	n.s.	n.s.
4930481A15Rik	n.s.	n.s.
4930502E09Rik	n.s.	n.s.
4930503B20Rik	n.s.	n.s.
4930503L19Rik	n.s.	n.s.
4930505A04Rik	n.s.	n.s.
4930506C21Rik	n.s.	n.s.
4930511M06Rik	n.s.	n.s.
4930513N10Rik	n.s.	n.s.
4930515G01Rik	n.s.	n.s.
4930519G04Rik	n.s.	n.s.
4930520O04Rik	n.s.	n.s.
4930522L14Rik	n.s.	n.s.
4930523C07Rik	n.s.	n.s.
4930525G20Rik	n.s.	n.s.
4930526L06Rik	n.s.	n.s.
4930539E08Rik	n.s.	n.s.
4930539J05Rik	n.s.	n.s.
4930544D05Rik	n.s.	n.s.
4930545L23Rik	n.s.	n.s.
4930550C14Rik	n.s.	n.s.
4930554G24Rik	n.s.	n.s.
4930556N13Rik	n.s.	n.s.
4930562C15Rik	n.s.	n.s.
4930562F07Rik	n.s.	n.s.
4930563D23Rik	n.s.	n.s.
4930564D02Rik	n.s.	n.s.
4930565N06Rik	n.s.	n.s.
4930570G19Rik	n.s.	n.s.
4930577N17Rik	n.s.	n.s.
4930578C19Rik	n.s.	n.s.
4930579G24Rik	n.s.	n.s.
4930579H20Rik	n.s.	n.s.
4930581F22Rik	n.s.	n.s.
4930595D18Rik	n.s.	n.s.
4930599N23Rik	n.s.	n.s.
4931406C07Rik	n.s.	n.s.
4931406P16Rik	n.s.	n.s.
4931414P19Rik	n.s.	n.s.
4931415C17Rik	n.s.	n.s.
4931428F04Rik	n.s.	n.s.
4931431C16Rik	n.s.	n.s.
4931440P22Rik	n.s.	n.s.
4932413F04Rik	n.s.	n.s.
4932435O22Rik	n.s.	n.s.
4932438A13Rik	n.s.	n.s.
4932441J04Rik	n.s.	n.s.
4932702P03Rik	n.s.	n.s.
4933404O12Rik	n.s.	n.s.
4933405L10Rik	n.s.	n.s.
4933406C10Rik	n.s.	n.s.
4933406J10Rik	n.s.	n.s.
4933407K13Rik	n.s.	n.s.
4933407L21Rik	n.s.	n.s.
4933408J17Rik	n.s.	n.s.
4933413J09Rik	n.s.	n.s.
4933416C03Rik	n.s.	n.s.
4933416I08Rik	n.s.	n.s.
4933417D19Rik	n.s.	n.s.
4933421O10Rik	n.s.	n.s.
4933424M12Rik	n.s.	n.s.
4933425L06Rik	n.s.	n.s.
4933427D14Rik	n.s.	n.s.
4933428G20Rik	n.s.	n.s.
4933430I17Rik	n.s.	n.s.
4933431E20Rik	n.s.	n.s.
4933439C10Rik	n.s.	n.s.
4933439K11Rik	n.s.	n.s.
4933440M02Rik	n.s.	n.s.
5031425E22Rik	n.s.	n.s.
5031439G07Rik	n.s.	n.s.
5033417F24Rik	n.s.	n.s.
5033428I22Rik	n.s.	n.s.
5330417C22Rik	n.s.	n.s.
5430405H02Rik	n.s.	n.s.
5530601H04Rik	n.s.	n.s.
5730405O15Rik	n.s.	n.s.
5730409E04Rik	n.s.	n.s.
5730420D15Rik	n.s.	n.s.
5730422E09Rik	n.s.	n.s.
5730435O14Rik	n.s.	n.s.
5730455P16Rik	n.s.	n.s.
5730559C18Rik	n.s.	n.s.
5730596B20Rik	n.s.	n.s.
5830432E09Rik	n.s.	n.s.
5830444B04Rik	n.s.	n.s.
5830454E08Rik	n.s.	n.s.
5930412G12Rik	n.s.	n.s.
6030408B16Rik	n.s.	n.s.
6030419C18Rik	n.s.	n.s.
6030443J06Rik	n.s.	n.s.
6030458C11Rik	n.s.	n.s.
6030468B19Rik	n.s.	n.s.
6230400D17Rik	n.s.	n.s.
6330418K02Rik	n.s.	n.s.
6330549D23Rik	n.s.	n.s.
6430531B16Rik	n.s.	n.s.
6430548M08Rik	n.s.	n.s.
6430550D23Rik	n.s.	n.s.
6430571L13Rik	n.s.	n.s.
6430573F11Rik	n.s.	n.s.
6530402F18Rik	n.s.	n.s.
6720489N17Rik	n.s.	n.s.
6820408C15Rik	n.s.	n.s.
6820431F20Rik	n.s.	n.s.
8030462N17Rik	n.s.	n.s.
8430408G22Rik	n.s.	Up
8430423G03Rik	n.s.	n.s.
8430429K09Rik	n.s.	n.s.
9030612E09Rik	n.s.	n.s.
9030624G23Rik,Gm9257,Gm3973,Gm10476,LOC102639021,Gm40847,Gm40862	n.s.	n.s.
9030624J02Rik	n.s.	n.s.
9130008F23Rik	n.s.	n.s.
