Row.names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneSymbol	GeneName	Sample_10uninfected	Sample_11infected	Sample_14uninfected	Sample_1infected	Sample_2infected	Sample_5uninfected	Sample_7infected	Sample_9uninfected
ENSMUSG00000060550	158.029241547322	3.25270880506255	0.482964508295432	6.734881651123	1.64063418958856e-11	2.1628480521346e-07	H2-Q7,H2-Q9	histocompatibility 2, Q region locus 7,histocompatibility 2, Q region locus 9	44	178	4	161	654	68	238	31
ENSMUSG00000073418	1501.17582574154	1.77483782109782	0.268090945259595	6.62028260364866	3.58512805807532e-11	2.36313715948035e-07	C4b	complement component 4B (Chido blood group)	1032	1314	173	2676	3801	1137	2242	912
ENSMUSG00000004366	27.4053478196491	-8.26323397822132	1.2830243618573	-6.44043419897304	1.19132196040323e-10	5.23506580133191e-07	Sst	somatostatin	120	0	16	0	0	10	0	109
ENSMUSG00000025091	29.0999593622126	-8.32242954657528	1.3043183640581	-6.38067344285631	1.76310914074899e-10	5.68602834495644e-07	Pnliprp2	pancreatic lipase-related protein 2	44	0	80	0	0	25	0	21
ENSMUSG00000025094	29.7658514501597	-8.35703893309777	1.31611982775694	-6.34975536182038	2.1565760240296e-10	5.68602834495644e-07	Slc18a2	solute carrier family 18 (vesicular monoamine), member 2	12	0	81	0	0	33	0	51
ENSMUSG00000079243	99.6386719118539	2.95557122641242	0.480814699657005	6.14700679600856	7.89587473464267e-10	1.73485527711324e-06	Xirp1	xin actin-binding repeat containing 1	28	163	25	137	249	14	155	16
ENSMUSG00000024225	42.9310581313554	-4.83291961578747	0.799183799456742	-6.04731930135812	1.47275699125379e-09	2.77362220224268e-06	Clps	colipase, pancreatic	53	0	104	1	6	46	6	58
ENSMUSG00000028369	320.316817404291	-1.712435947498	0.302567603969853	-5.65968043184367	1.51655128259299e-08	2.49908694480293e-05	Svep1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	812	142	204	190	132	773	136	429
ENSMUSG00000047414	129.899690396113	-1.99446141457071	0.35993880498984	-5.54111250835265	3.00556026830203e-08	4.40247789078062e-05	Flrt2	fibronectin leucine rich transmembrane protein 2	192	48	157	49	46	296	67	182
ENSMUSG00000038146	3225.58641439993	1.3386156869003	0.245407145669793	5.45467281829468	4.90630983044798e-08	6.46798824947958e-05	Notch3	notch 3	2131	2943	876	3811	8906	2566	4068	2534
ENSMUSG00000063415	22.990653235621	4.87804630056957	0.958697229226891	5.08820319059784	3.61471964248615e-07	0.000433207718608135	Cyp26b1	cytochrome P450, family 26, subfamily b, polypeptide 1	3	35	0	6	109	1	36	3
