	Row.names	Sample_10uninfected	Sample_1infected	Sample_2infected	Sample_5uninfected	Sample_7infected	Sample_9uninfected	GeneSymbol	GeneName
1	ENSMUSG00000000001	8.01743294512534	7.36882910302238	7.61056035273556	7.91531527626958	8.02466964349001	7.86849987810922	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3
2	ENSMUSG00000000028	6.44138184684363	6.6426717568592	6.44138184684363	6.96146320076006	6.84478036260167	6.91554281659416	Cdc45	cell division cycle 45
3	ENSMUSG00000000031	6.44138184684363	6.44138184684363	6.44138184684363	6.67067459582011	6.72491540983763	6.44138184684363	H19	H19, imprinted maternally expressed transcript
4	ENSMUSG00000000037	6.80940306596451	6.58064493182539	6.78770226126989	6.76868269208766	6.68591843645892	6.80250645500731	Scml2	Scm polycomb group protein like 2
5	ENSMUSG00000000056	7.06572896722811	6.94401101588253	6.86663109624414	6.96146320076006	7.11203800570601	7.59430353499969	Narf	nuclear prelamin A recognition factor
6	ENSMUSG00000000058	6.63455681083024	6.87621970927034	7.09226373447876	6.8862991712536	6.9949901361561	6.74566730296614	Cav2	caveolin 2
7	ENSMUSG00000000078	9.6022960498139	9.06326436818026	9.23668986904803	9.51777593872118	9.48984947428449	9.62411674711778	Klf6	Kruppel-like factor 6
8	ENSMUSG00000000085	9.52975840196905	9.72185557820724	9.59913827671681	9.43641313495996	9.5429377702888	9.74405220081091	Scmh1	sex comb on midleg homolog 1
9	ENSMUSG00000000088	6.75151734804763	6.85111446524411	6.8158773910392	6.67067459582011	6.75916639656827	6.91554281659416	Cox5a	cytochrome c oxidase subunit Va
10	ENSMUSG00000000093	14.5058934499386	14.9047166793747	14.9563353751735	14.2792471635258	14.7098086107632	14.9558956415812	Tbx2	T-box 2
11	ENSMUSG00000000094	7.53353577010722	6.87621970927034	6.991290469533	7.50189332905193	7.24958944195071	7.19170064908923	Tbx4	T-box 4
12	ENSMUSG00000000120	6.57481891120229	6.44138184684363	6.44138184684363	6.79536715093781	6.63945197202666	6.44138184684363	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16)
13	ENSMUSG00000000126	7.87541590024944	6.82435361733234	6.991290469533	7.83092576534306	7.5847956670522	7.51397555425976	Wnt9a	wingless-type MMTV integration site family, member 9A
14	ENSMUSG00000000127	11.4747972485639	11.8869963200092	11.8969337678704	11.5571850316649	11.9769829592183	12.0891414448729	Fer	fer (fms/fps related) protein kinase
15	ENSMUSG00000000131	11.8609638299112	11.8044443036429	12.1403137570722	11.9611842298667	11.9038901331929	12.0339235592356	Xpo6	exportin 6
16	ENSMUSG00000000134	9.19046362539835	9.53483062477553	9.32585748502333	9.57634336085754	9.79200120014048	9.49348905039199	Tfe3	transcription factor E3
17	ENSMUSG00000000142	6.75151734804763	6.44138184684363	7.04393496923012	6.84343107456164	6.8184210398433	6.63081234521615	Axin2	axin 2
18	ENSMUSG00000000148	7.43454656640338	7.98940239758821	7.73273341230224	7.70016561654058	7.53256861708394	8.02700398818443	Brat1	BRCA1-associated ATM activator 1
19	ENSMUSG00000000149	11.6974166162987	12.1605340049952	12.1947664448566	11.7259040904664	12.0399045638511	12.1019595900527	Gna12	guanine nucleotide binding protein, alpha 12
