Row.names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneSymbol	GeneName	Sample_10uninfected	Sample_11infected	Sample_14uninfected	Sample_1infected	Sample_2infected	Sample_5uninfected	Sample_7infected	Sample_9uninfected
ENSMUSG00000029522	233.692515636627	-4.90731709772371	0.383359595933296	-12.8008197780383	1.62229541052617e-37	2.18133840899349e-33	Pla2g1b	phospholipase A2, group IB, pancreas	444	0	1495	11	6	381	27	619
ENSMUSG00000073418	1971.31905398596	1.63118792682235	0.195135604602482	8.35925319802764	6.31165178640871e-17	4.24332349600257e-13	C4b	complement component 4B (Chido blood group)	1032	1314	173	2676	3801	1137	2242	912
ENSMUSG00000079243	101.434124238381	3.33954822118794	0.405147117516024	8.24280385274087	1.68221224849899e-16	7.53967529777246e-13	Xirp1	xin actin-binding repeat containing 1	28	163	25	137	249	14	155	16
ENSMUSG00000028369	393.812241207632	-2.00201211457714	0.273236867554598	-7.32702044381729	2.35325937722344e-13	7.91048139653661e-10	Svep1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	812	142	204	190	132	773	136	429
ENSMUSG00000060550	200.885346122104	3.00691842717916	0.42558433884165	7.06538787438315	1.60167971043911e-12	4.30723707731287e-09	H2-Q7,H2-Q9	histocompatibility 2, Q region locus 7,histocompatibility 2, Q region locus 9	44	178	4	161	654	68	238	31
ENSMUSG00000036446	5040.46948005383	-1.54262399861897	0.233671893182851	-6.601666882597	4.06560254561659e-11	9.11101530472678e-08	Lum	lumican	9030	1534	1606	2203	1662	8346	3653	6598
ENSMUSG00000002980	4434.5755491791	1.43642991476286	0.22489419931701	6.38713634733671	1.6902092795075e-10	3.24665056746541e-07	Bcam	basal cell adhesion molecule	1741	1788	758	6175	8145	2635	4613	3310
ENSMUSG00000027765	103.658779467355	-2.22033747287328	0.357389925569854	-6.21264706701785	5.20993798879985e-10	8.04797112840699e-07	P2ry1	purinergic receptor P2Y, G-protein coupled 1	204	93	7	30	30	207	47	135
ENSMUSG00000036856	137.671025306616	-1.93279099343125	0.311368885771228	-6.20739926741213	5.38686153173158e-10	8.04797112840699e-07	Wnt4	wingless-type MMTV integration site family, member 4	228	81	78	55	68	286	44	186
ENSMUSG00000047414	131.871678312123	-1.90881201724103	0.322227096144702	-5.92380976050459	3.14567343505534e-09	4.13860245414065e-06	Flrt2	fibronectin leucine rich transmembrane protein 2	192	48	157	49	46	296	67	182
ENSMUSG00000026417	107.8068091242	2.6234375417722	0.443769642746726	5.91171024122866	3.38573754243248e-09	4.13860245414065e-06	Pigr	polymeric immunoglobulin receptor	23	7	12	156	241	14	146	59
ENSMUSG00000034164	668.831438178121	-1.41742541238784	0.241585293660273	-5.8671841771175	4.43258220947391e-09	4.96670836571552e-06	Emid1	EMI domain containing 1	1146	364	558	425	234	1137	401	829
ENSMUSG00000054675	374.843874652539	-1.51264292014248	0.262700183336661	-5.75805810612613	8.50870688679751e-09	8.8006209846061e-06	Tmem119	transmembrane protein 119	777	267	291	171	242	503	156	485
ENSMUSG00000023951	2141.35571647492	-1.50761962605823	0.271338593807712	-5.55622996677954	2.7566364162553e-08	2.64755237521206e-05	Vegfa	vascular endothelial growth factor A	4239	794	703	1483	754	3913	999	1968
ENSMUSG00000024140	7226.75095790319	1.02826077716135	0.18570934809319	5.53693601167221	3.07808944129174e-08	2.75919937517392e-05	Epas1	endothelial PAS domain protein 1	4375	3208	1468	8996	12035	4943	7327	5910
ENSMUSG00000075224	355.459947734792	-1.51265834588771	0.276829673909034	-5.46422037972984	4.64945630367674e-08	3.71734399377157e-05	Lrrc55	leucine rich repeat containing 55	610	138	109	170	191	753	178	326
ENSMUSG00000038146	3986.10208805156	1.34133732457117	0.245562480297434	5.46230565413126	4.69989944177575e-08	3.71734399377157e-05	Notch3	notch 3	2131	2943	876	3811	8906	2566	4068	2534
ENSMUSG00000039004	580.745739068878	-1.02802487977186	0.193070469242594	-5.32460962986595	1.01170070864865e-07	7.24972949698864e-05	Bmp6	bone morphogenetic protein 6	700	34	308	395	377	829	343	968
ENSMUSG00000019929	2045.42616472046	-1.2301537090605	0.231130401631002	-5.32233622396602	1.0244300196548e-07	7.24972949698864e-05	Dcn	decorin	4072	1072	917	1074	1009	2931	1487	2126
ENSMUSG00000034387	150.00864963308	2.23508315195676	0.438383139976077	5.0984696904145	3.42410345148947e-07	0.000230202475043637	Ssu2	ssu-2 homolog (C. elegans)	66	160	37	178	449	62	100	40
ENSMUSG00000068452	15.7990227258915	7.51795300084061	1.47989091768661	5.08007239654716	3.77291058180064e-07	0.000236313721492705	Duox2	dual oxidase 2	0	0	0	6	30	0	57	0
ENSMUSG00000086905	274.350253191644	-1.53428453735715	0.302297335064382	-5.0754153589557	3.86650444209394e-07	0.000236313721492705	NA	NA	518	66	73	168	123	536	119	251
ENSMUSG00000042453	17.6611400461079	-7.54482106355485	1.49120926350241	-5.05953205107801	4.20286630880387e-07	0.000236377757306892	Reln	reelin	55	0	0	0	0	4	0	52
ENSMUSG00000025091	14.1850470270387	-7.22885522831983	1.42946645350397	-5.05703034205535	4.25835506922619e-07	0.000236377757306892	Pnliprp2	pancreatic lipase-related protein 2	44	0	80	0	0	25	0	21
ENSMUSG00000025094	14.8848927709655	-7.29988992313809	1.44523551403427	-5.05100369611107	4.3949456586883e-07	0.000236377757306892	Slc18a2	solute carrier family 18 (vesicular monoamine), member 2	12	0	81	0	0	33	0	51
